 22 48 27,10	-25 52 13,96	 22 48 27,91	-25 52 03,30	 21 32 17,44	-01 16 15,01	01 58 02	288,6	1012,5	0,69	HR8674	22 47 56.2	-25 54 43
 22 53 12,65	-20 32 16,24	 22 53 12,67	-20 32 16,50	 21 35 23,21	-01 17 53,31	02 01 07	288,6	1012,5	0,69	LTT	22 52 41	-20 35 33
 22 53 12,65	-20 32 16,24	 22 53 13,48	-20 32 53,30	 21 38 16,12	-01 15 00,45	02 04 00	288,7	1012,1	0,69	LTT	22 52 41	-20 35 33
 22 53 12,65	-20 32 16,24	 22 53 13,47	-20 32 53,30	 21 38 49,40	-01 14 27,18	02 04 33	288,7	1012,1	0,69	LTT	22 52 41	-20 35 33
 00 44 39,81	-10 34 14,65	 00 44 42,23	-10 33 51,20	 22 06 39,50	-02 38 03,35	02 32 18	288,6	1012,0	0,72	HR0194	00 44 11.4	-10 36 34
 00 44 39,81	-10 34 14,65	 00 44 42,29	-10 33 51,20	 22 06 43,29	-02 37 59,56	02 32 22	288,6	1012,0	0,72	HR0194	00 44 11.4	-10 36 34
 00 42 01,56	-09 13 02,06	 00 42 00,50	-09 12 59,60	 22 16 12,86	-02 25 49,28	02 41 50	288,3	1012,2	0,74	KAZ 364	00 41 30.3	-09 15 46
 00 42 01,56	-09 13 02,06	 00 42 01,78	-09 13 03,80	 22 19 36,67	-02 22 25,56	02 45 14	288,2	1012,4	0,74	KAZ 364	00 41 30.3	-09 15 46
 00 42 01,56	-09 13 02,06	 00 42 01,83	-09 12 55,30	 22 58 20,00	-01 43 43,04	03 23 51	287,7	1012,0	0,76	KAZ 364	00 41 30.3	-09 15 46
 00 42 01,56	-09 13 02,06	 00 42 01,64	-09 12 45,30	 00 16 18,78	-00 25 45,62	04 41 37	287,1	1011,1	0,77	KAZ 364	00 41 30.3	-09 15 46
 00 42 01,56	-09 13 02,06	 00 42 01,56	-09 12 39,40	 00 57 02,38	 00 14 57,32	05 22 13	286,6	1010,9	0,77	KAZ 364	00 41 30.3	-09 15 46
 00 42 00,60	-09 11 00,43	 00 42 01,59	-09 10 40,50	 03 21 08,10	 02 39 02,66	07 45 56	285,3	1011,3	0,84	KAZ 364b	00 41 27.9	-09 13 47
 00 42 00,60	-09 11 00,43	 00 42 01,08	-09 10 25,70	 03 23 43,82	 02 41 38,32	07 48 31	285,3	1011,3	0,84	KAZ 364b	00 41 27.9	-09 13 47
 16 41 59,33	-24 30 20,84	 16 42 00,68	-24 30 20,60	 16 50 28,90	 00 08 12,35	21 13 04	290,3	1014,9	0,58	HR6193	16 41 36.2	-24 28 05
 16 57 11,25	-23 11 01,62	 16 57 23,47	-23 11 07,00	 17 23 46,32	 00 26 17,79	21 46 16	289,7	1015,3	0,61	HR6291	16 56 48.0	-23 09 00
 16 57 11,25	-23 11 01,62	 16 57 23,51	-23 11 07,00	 17 23 47,40	 00 26 18,88	21 46 17	289,7	1015,3	0,61	HR6291	16 56 48.0	-23 09 00
 15 58 45,51	-14 19 42,30	 15 58 46,22	-14 19 12,90	 17 43 46,38	 01 44 56,27	22 06 13	289,4	1015,3	0,61	48 Lib	15 58 11.4	-14 16 46
 15 54 31,78	-24 01 32,48	 15 54 31,90	-24 01 14,40	 18 18 25,72	 02 23 47,80	22 40 46	289,1	1015,3	0,63	HR 5907	15 53 56	-23 58 41
 15 54 31,78	-24 01 32,48	 15 54 31,78	-24 01 14,20	 18 18 45,43	 02 24 07,51	22 41 06	289,1	1015,3	0,63	HR 5907	15 53 56	-23 58 41
 16 00 55,93	-22 40 04,14	 16 00 56,85	-22 39 34,00	 18 38 12,84	 02 37 10,84	23 00 30	288,9	1015,6	0,61	delta Sco	16 00 20.0	-22 37 18
 16 00 55,93	-22 40 04,14	 16 00 56,89	-22 39 34,00	 18 38 13,87	 02 37 11,87	23 00 31	288,9	1015,6	0,61	delta Sco	16 00 20.0	-22 37 18
