 17 16 53,66	-30 11 40,12	 17 16 52,63	-30 11 46,90	-00 00 19,00	 00 02 10,00	-7.3	-13.8	 17 16 38,47	-30 13 14,66	 00 30 45,47	 17 47 23,94	04 59 41	HR6403	17 15 51.5	-30 12 38	9,5	86	1014,8	16,6	67	7,3	0,0	SSE		26
 21 35 14,85	-42 50 20,40	 21 34 07,62	-42 50 19,50	 00 00 49,16	 00 02 10,27	0.9	9.7	 21 35 01,32	-42 51 48,78	-00 18 44,59	 21 16 16,73	08 28 00	HR8241	21 34 17.0	-42 55 30	8,7	93	1014,7	16,3	68	7,6	0,0	NNE		26
 21 59 06,16	-38 18 22,82	 21 59 06,27	-38 18 23,70	 00 00 49,16	 00 02 10,27	0.0	0.0	 22 00 00,10	-38 19 54,03	-00 00 57,89	 21 59 02,21	09 10 38	HR8379	21 59 17.9	-38 23 43	8,9	95	1015,1	16,2	69	8,1	3,2	ENE		26
 21 59 06,16	-38 18 22,82	 21 59 16,11	-38 18 12,20	 00 00 49,16	 00 02 10,27	0.0	0.0	 22 00 05,27	-38 20 22,46	 00 14 43,90	 22 14 49,17	09 26 23				9,0	94	1015,3	16,0	70	8,1	4,8	ENE		04
 21 59 06,16	-38 18 22,82	 22 00 00,81	-38 18 12,20	 00 00 49,16	 00 02 10,27	0.0	0.0	 22 00 00,44	-38 19 54,09	 00 15 33,42	 22 15 33,87	09 27 07	TESTE	22 00 00,43	-38 19 54,09	9,0	94	1015,3	16,0	70	8,1	4,8	ENE		24
 22 26 24,87	 04 28 20,17	 22 26 24,76	 04 28 19,40	 00 00 49,16	 00 02 10,27	0.0	0.0	 22 27 12,86	 04 26 37,87	-00 08 49,41	 22 18 23,45	09 29 56	HR8548	22 26 37.4	+04 23 37	9,0	94	1015,3	16,0	70	8,1	4,8	ENE		26
 22 26 24,87	 04 28 20,17	 22 26 25,27	 04 28 15,80	 00 00 49,16	 00 02 10,27	-4.3	5.9	 22 27 12,90	 04 26 37,88	-00 06 55,66	 22 20 17,23	09 31 50	HR8548	22 26 37.4	+04 23 37	9,0	94	1015,3	16,0	70	8,1	4,8	ENE		26
 22 26 24,87	 04 28 20,17	 22 26 25,21	 04 28 14,80	 00 00 49,16	 00 02 10,27	-0.9	1.3	 22 27 12,90	 04 26 37,88	-00 06 50,89	 22 20 22,01	09 31 55	HR8548	22 26 37.4	+04 23 37	9,0	94	1015,3	16,0	70	8,1	4,8	ENE		26
 08 45 30,03	-41 06 05,13	 08 00 00,06	-22 31 57,90	 00 00 49,16	 00 02 10,27	0.0	0.0	 08 00 49,22	-22 34 08,16	-00 00 49,70	 07 59 59,52	19 09 57	HR3488	08 46 23.8	-41 07 32	13,8	76	1015,6	18,2	70	9,6	1,6	N		0E
 08 45 32,58	-13 31 18,22	 08 45 32,59	-13 31 19,10	 00 00 49,16	 00 02 10,27	0.0	0.0	 08 46 54,57	-13 35 46,80	-00 43 25,59	 08 03 28,98	19 13 26	HR3484	08 46 22.5	-13 32 52	13,4	79	1015,6	18,3	70	9,9	1,6	NE		2E
 08 45 32,58	-13 31 18,22	 08 45 34,69	-13 31 12,00	 00 00 49,16	 00 02 10,27	7.1	27.9	 08 46 54,60	-13 35 46,77	-00 41 32,12	 08 05 22,48	19 15 19	HR3484	08 46 22.5	-13 32 52	13,4	79	1015,6	18,3	70	9,9	1,6	NE		2E
 08 45 32,58	-13 31 18,22	 08 45 34,26	-13 31 18,10	 00 00 49,16	 00 02 10,27	-6.9	-3.3	 08 46 54,61	-13 35 46,76	-00 40 52,29	 08 06 02,32	19 15 59	HR3484	08 46 22.5	-13 32 52	13,4	79	1015,6	18,3	70	9,9	1,6	NE		2E
 08 45 32,58	-13 31 18,22	 08 45 33,45	-13 31 25,00	 00 00 49,16	 00 02 10,27	-6.9	-12.5	 08 46 54,64	-13 35 46,73	-00 38 43,99	 08 08 10,65	19 18 07	HR3484	08 46 22.5	-13 32 52	13,4	79	1015,6	18,3	70	9,9	1,6	NE		2E
 10 55 41,92	-60 29 13,33	 10 55 48,26	-60 27 36,49	 00 00 48,38	 00 01 56,79	99.3	46.2	 10 56 42,36	-60 30 32,48	 00 38 38,02	 11 35 20,37	22 44 43	AGCar	10 56 11.58	-60 27 12.81	10,3	86	1017,1	18,6	65	8,0	25,7	SSE		26
