Coude A+	0	135	N	N	0.16	-2400	-900	1400
Coude B+	0	180	N	N	0.16	-150	100	1395
ECass+	281.5	11.5	S	S	0.46	-2400	-930	460
Eucalyptus+	281.52	 80.04	N	S	0.28	-956	137	545
Cam 1+	10.8	81	N	S	0.27	-2400	-900	663
Cam 2*	281.52	 11.53	S	S	0.462	0	0	0
Cam4 + IV*	327.5	 120	N	S	0.62	-169	0	293
Polarimetro*	281.52	 11.53	S	S	0.462	0	0	0
Fortrap*	281.52	 11.53	S	S	0.462	0	0	0
Cam1 RF*	10.8	270	N	S	0.31	-2600	-900	1360
Coude C+	0	132	N	N	0.16	-305	143	1400
MUSICOS*	0	1.38	S	S	1.2	-2400	-900	453
+Já testado								
* nao config								
cam 1 s/rf	10.8	81	N	S	0.27	0	-900	663
